INPUT:text	OUTPUT:category	CONFIDENCE:category	
Впрочем , вашингтонские журналисты говорят , что следователи не готовы на 100% утверждать , что покушение на Джояла не связано с его участием в программе про Александра Литвиненко или с каким-то иными его делами .	[7]	100.00%	
Постепенно начнут рушиться барьеры - между работой и домом , работой и уходом на пенсию , работой и досугом .	[3]	100.00%	
"Факт сам по себе чрезвычайно интересный , однако такое "" семеричное счисление "" возраста , в общем - то , вполне соответствовало границам физиологических и психологических перемен , происходящих в организме по мере взросления ."	[7]	100.00%	
Именно поэтому обидно , что в обычные дни мы не видим спешащих на помощь милиционеров и улыбающихся пассажиров метро .	[4]	100.00%	
Могло и у Кадырова лопнуть ( в юбилейный день , после которого он , считай , президент ) , могло и у многих других .	[6]	100.00%	
В 1990-х годах в экономически развитых странах расходы на рекламу и пиар росли в полтора - два раза быстрее , чем расходы на исследования и разработку новых продуктов , и даже обгоняли рост ВВП .	[5]	100.00%	
Основные исследования лаборатории сфокусированы в области коммуникаций , кооперации и обучения в многочисленных группах .	[4]	100.00%	
Энтузиазм и интеллектуальный подъем , вызванный таким открытием , заражает и ту научную среду , в которой оно произошло .	[6]	100.00%	
"Солдат ответил : "" А помните , в Симферополе в тысяча девятьсот четвертом году при отправлении нашего полка в Маньчжурию вы изволили выдать всем солдатам по рублю деньгами и по чарке водки каждому ? """	[7]	100.00%	
Мы , чем могли , облегчали их страдания и уже на своем транспорте отправляли в госпиталь на станцию Столбцы .	[3]	100.00%	
Позднее ленд-лиз распространяется на Китай , Грецию и Югославию .	[4]	100.00%	
Симпатичная , в золотых украшениях , на безымянном пальце правой руки серебряное кольцо с бриллиантом , в армейских френче , брюках , кепке и с оружием - трофей полевого командира , его дорогая игрушка .	[7]	100.00%	
Сегодня в ответном поединке решится , кто же встретится в плей-офф с ирландцами и завоюет путевку на чемпионат мира .	[3]	100.00%	
За неделю начальник управления собирался позвонить Савельеву , который занимал теперь такой же пост , как и Семен Еремеевич в соседней области , и узнать о деловых качествах Ефимовой .	[7]	100.00%	
О прежней профессии , конечно , и думать было нечего - с этим я примирилась безропотно , кто знает , может быть , с тайной радостью , что больше не надо изводиться отсутствием таланта …	[7]	100.00%	
Он поселился в Душанбе и напомнил о себе через год , когда выступил свидетелем обвинения на процессе Андрея Синявского и Юлия Даниэля , которые когда-то считали его своим другом .	[5]	100.00%	
"Помню , едем мы на съемки , Калик протягивает мне сценарий в синем переплете и показывает : "" Вот здесь в верхнем правом углу на моем деле было написано : "" ХВ "" "" ."	[5]	99.99%	
Вот разговариваю с коллегой и упоминаю о том , что очень люблю сирень , - для меня она ассоциируется с весной , сокрушаюсь , что в Сидар-сити нет сирени .	[6]	100.00%	
Естественно , я не пытался в этом кого-нибудь разуверить .	[2]	100.00%	
"Распорядился : "" Освободить и вернуть в Москву "" ."	[3]	100.00%	
В странах Балтии и в Польше такие опасения звучат .	[1]	100.00%	
Мембраны , ограниченные перегородками , нужно собрать в пакет , тогда то , что не доберет в исходном растворе одна мембрана , доберет вторая , третья и т. д .	[7]	100.00%	
Овцы и куры прекрасно вписались в культурный контекст инсталляций Ильи Кабакова , фотографий Марины Абрамович и лекций по урбанистике Герта Урхана , поскольку были правильно отобранными овцами и курами .	[5]	100.00%	
Он и в шестьдесят еще участвовал в самых известных марафонах в разных точках мира .	[1]	100.00%	
Кому я только его не показывал , никто не говорил , что фильм плохой , просили сократить , я сокращал , но фильм так и не вышел на экраны .	[4]	100.00%	
И все это _ не из-под палки , а добровольно и с огромным интересом .	[3]	100.00%	
Например , в октябре 2003 года в исследовательском центре Xerox разработали новую технологию подающего механизма для копиров и принтеров .	[5]	100.00%	
И он это понимал , это его и погубило .	[3]	100.00%	
Шахматы - настольная логическая игра специальными фигурами на 64-клеточной доске для двух соперников , сочетающая в себе элементы искусства ( в части шахматной композиции ) , науки и спорта .	[5]	100.00%	
Приведенные примеры показывают , как волна креатива поднимает на вершину капитализации те компании , которые функционируют на основе принципа : деньги делаются не на продукте и даже не на бренде , а на тренде .	[7]	100.00%	
Описание его маршрута было известно в средневековой Европе и могло быть известно братьям Поло ещё в их первом путешествии .	[4]	100.00%	
Большинство именно так и думает , хотя возникло это словосочетание в противовес церковному браку и означает как раз таки гражданский брак , зарегистрированный государством .	[7]	100.00%	
Заключение тюремного врача свидетельствует о том , что Абакумова ( ему было всего сорок с небольшим , и на здоровье он прежде не жаловался ) превратили в полного инвалида .	[5]	100.00%	
Такая вспышка наблюдалась в Челябинске , и очевидцы отмечают , что они чувствовали жар .	[2]	100.00%	
Если закрыть глаза на те из наших достоинств , которые существуют исключительно в наших глазах , я бы не решился утверждать , что такое сравнение - в нашу пользу .	[5]	100.00%	
Недаром Христос избрал апостолов из мужчин и не включил в их число свою мать .	[3]	100.00%	
В этих договорах определены основные направления совместной работы по повышению эффективности подготовки квалифицированных специалистов для печатных СМИ , участию работников кафедры и студентов в деятельности редакций газет и журнала .	[7]	100.00%	
Рыба подходила и ела , но крючок не брала …	[2]	100.00%	
Общественный прогресс настоятельно требует сообща решать и другие общечеловеческие проблемы ( экологическую , продовольственную , к примеру ) , налаживать конструктивное взаимодействие государств и народов в масштабах всей планеты .	[7]	100.00%	
Андрей Аркадьевич накрыл террариум крышкой и закрыл на защелку .	[2]	100.00%	
"Я тут же отозвалась и написала : "" Дорогой Сенечка , в этот день хочу тебе сказать , что мы тебя любим и помним ."	[6]	100.00%	
Потом хозяйка рассказала мне , как они , войдя в старый захламленный сарай , осмотрелись , почесали затылки и , высказавшись в том смысле , что тут сам черт ногу сломит , пошли назад .	[7]	100.00%	
"У нас изменились и условия , и возможности , и желание людей трудиться , и период активной жизни , поэтому решение принимать необходимо "" ."	[7]	100.00%	
Видимо , он разочаровался в том , что начиналось в перестройку , а уже в 1993 году ему стало ясно , что дело плохо .	[5]	100.00%	
Россия же , так и не успевшая стать национальным государством в тот период , когда это было мировой тенденцией , сегодня испытывает еще большие проблемы с осознанием единого прошлого .	[6]	100.00%	
Тех , кто остро ощущает их дефицит не только на выборах , но и в повседневной жизни , постоянно сталкиваясь с унижающим произволом чиновника .	[5]	100.00%	
Да ведь и на украинском фронте то же самое , хотя и масштабнее , одна газовая война чего стоит .	[5]	100.00%	
Все шесть добровольцев из американской редакции Popular Mechanics , согласившиеся опробовать на себе эту штуку , докладывали о дискомфорте различной степени тяжести , начиная с головной боли и кончая тошнотой , и пищеварительными эксцессами .	[7]	100.00%	
"Ученые сразу же синтезировали вещество - тот самый антиоксидант , который они подсмотрели в природе , прицепили его к молекуле - "" электровозу "" и стали испытывать сначала на клетках , потом на животных ."	[7]	100.00%	
Я даже не очень понимаю , в чем проблема .	[1]	100.00%	
"Узнать заветный список непросто , но американцы делают деньги и другим способом - точные прогнозы улучшают их репутацию и превращают в "" звезд "" биржевой аналитики , а такой статус автоматически означает повышенную зарплату ."	[6]	100.00%	
При этом ученые обращают внимание на то , что даже в традиционно много работающих Японии и Великобритании производительность труда при росте занятости не растет ( Япония ) и даже незначительно падает ( Великобритания ) .	[6]	100.00%	
Кстати , может быть , именно в условиях войны и разрослись непомерно эти пороки .	[3]	100.00%	
Что кризис в отношениях с Западом стал отмычкой , чтобы распечатать разные государственные фонды - и Пенсионный , и фонды развития , и , может быть , золотовалютные резервы ?	[6]	100.00%	
Как сообщили в понедельник в ГУГО и ЧС Москвы , в воскресенье около 18 четверо детей из афганской семьи возвращались домой через Чермянский пруд .	[7]	100.00%	
Если в организме клеток гибнет больше , чем рождается , это и означает старение .	[2]	100.00%	
Козак говорит о коррупции и клановости на Северном Кавказе ?	[2]	100.00%	
Например , на экономический факультет МГУ в 2006 году он составлял шесть человек на место , а в 2008-м - пять человек на место .	[3]	100.00%	
Вместе со своим благодетелем мы сошли в подвал , он отпер дверь и вполголоса велел Ткаченко следовать на выход .	[3]	100.00%	
Беда , собственно , не в самом Паустовском , а в специфических ожиданиях публики .	[3]	100.00%	
Правительство в ближайшее время рассмотрит вопрос об отмене квот на высококвалифицированных мигрантов , которые будут работать в Сибири и на Дальнем Востоке , заявил первый вице-премьер РФ Игорь Шувалов .	[6]	100.00%	
С немцами проще : и мы туда , _ и они _ к нам .	[3]	100.00%	
Третье задание представляло собой , в сущности , физическую задачу ( и некоторые ребята решили ее методами физики ) , к тому же в ее формулировке была допущена ошибка .	[5]	100.00%	
Все неприятное и неожиданное случилось в рамках военного конфликта .	[1]	100.00%	
Она активно используется , в частности , в бизнесе и в социальной практике , задавая определенные рамки и ориентиры для организации деятельности развивающихся коллективов .	[5]	100.00%	
Отметим , что Siemens - рекордсмен и по тишине работы ( обратная сторона - небольшая мощность всасывания ) , и по размерам - его небольшой рост и габариты позволяют протиснуться в самые отдаленные уголки .	[7]	100.00%	
Поэтому сейчас есть возможность оценить и энергетику , и характер прохождения метеорита через атмосферу .	[3]	100.00%	
С другой стороны - со стороны общества - имело место дозревание движения , которое началось в 1956 году и которое с самого начала содержало в себе серьезный рабочий компонент .	[7]	100.00%	
Вместе с тем мирный договор между СССР и Японией так и не был подписан .	[2]	100.00%	
С торца он имел отдельный вход в помещение , где и располагался фельдшерский пункт .	[2]	100.00%	
Мама , как и многие вдовы , не любила мужиков , оставшихся в живых .	[4]	100.00%	
Миновал внешний периметр безопасности - коридоры между бетонными заборами , вышки с пулеметчиками , гирлянды колючей проволоки - и сразу же попал в суету и грязь бедного восточного города .	[6]	100.00%	
Он уже расчистил довольно широкую полосу , и там плотно , крепко круглились сероватые в просинь и розоватость лобастые булыжники , а дальше шоссе терялось в густой поросли сорняков .	[7]	100.00%	
Легионы ушибленных выставкой в Сахаровском центре - миф следствия , и это , без сомнения , выявится в суде .	[7]	100.00%	
"Американские "" Трешер "" и "" Скорпион "" , ушедшие на дно со всем экипажем , погубил не реактор , а неполадки с балластной цистерной и взрыв торпеды соответственно ."	[5]	100.00%	
"Спортсменам помогали лишь в отдельных регионах , а из Москвы раз в четыре года нехотя выделяли деньги на участие в "" ненужных "" параолимпиадах ."	[5]	100.00%	
Хотя , разумеется , если он и возможен , то только в отдаленном будущем .	[3]	100.00%	
"В Заполярье же который год сотни тысяч "" энтузиастов "" , приехавших за "" длинным рублем "" еще до 1991 года , не могут выехать "" на материк некуда и _ не на что ."	[7]	100.00%	
В результате глубоких прорывов немецких танковых соединений основные силы советских Западного , Резервного и Брянского фронта оказались в окружении в районе Вязьмы и Брянска .	[3]	100.00%	
"Интересно , что на другом конце света , в Центральной и Южной Америке , ацтеки и инки тоже использовали жадеит как жертвенный камень "" ."	[5]	100.00%	
"Там я когда-то зарабатывал , выходя с пикой на восьмом плане в опере "" Аида "" или танцуя в самом последнем ряду во время ночных съемок какого-то белорусского фильма ."	[7]	100.00%	
Балерина , она танцевала сольные партии пусть не на сцене Большого театра , но уж , конечно , не _ _ Малого , и до сих пор в состоянии выполнить десяток - другой фуэте .	[6]	100.00%	
Меня нисколько не удивило , что мой силач отец не мог донести со станции арбуз и вынужден был катить его по земле ; что за второе место в беге он заплатил маленьким сердечным припадком .	[7]	100.00%	
Тогда он смахнул с нее снег , взял на руки и отнес в дирекцию .	[2]	100.00%	
Поэтому жертвами большого террора стали люди , невероятно далекие от политической и общественной жизни , - рабочие , крестьяне , мелкие служащие и сами чекисты , которые отправлялись в топку вслед за своими жертвами .	[5]	99.99%	
Рыночная экономика в том и состоит , что плоды твоего труда должны быть защищены .	[2]	100.00%	
И с той минуты , как стал первым секретарем в Свердловске , поверил в то , что может и должен руководить всем и всеми .	[5]	100.00%	
Немного найдется книг , отвечающих одновременно и на справочные , и на специальные , и на самые общие вопросы .	[6]	100.00%	
В-третьих , как и в любом деле , главное тут - вера в себя .	[2]	100.00%	
Тут и сопереживания единомышленников - коммунистов , тут и заинтересованность в экономическом , научном и культурном сотрудничестве , тут и озабоченность дальнейшими судьбами разоружения .	[7]	99.99%	
"Это и есть та власть , которая вот эту систему же и создала "" ."	[2]	100.00%	
Очевидно , что блицкрига в Сирии не будет , да его , скорее всего , никто и не планировал .	[3]	100.00%	
Да и переправиться на другой берег в Тарусе не просто , так как ни моста , ни парома нет .	[3]	100.00%	
Это привело к безумному соперничеству за сырье и росту розничных цен на подсолнечное масло ( осенью оно подорожало минимум на 150 % и сейчас опять растет в цене ) .	[4]	100.00%	
Для этого пришлось пройти через долгое и болезненное переосмысление прошлого , чего в России так и не было сделано .	[4]	100.00%	
"Сумма контракта не разглашалась и не разглашена до сих пор - лорд Белл в нескольких интервью после подписания контракта называл разве что порядок цифр - "" миллионы "" , которые намерен заработать на Беларуси ."	[6]	100.00%	
Сегодня идеи Ламарка находят ограниченное применение при моделировании эволюции в системах искусственного интеллекта и в некоторых исследованиях по иммунологии .	[5]	100.00%	
Нетрадиционная энергетика в нашей стране находится в эмбриональном состоянии .	[4]	100.00%	
"Именно такой национализм уже шел рука об руку с либерализмом в период распада колониальных империй и во времена "" бархатных революций "" в Восточной Европе в конце прошлого столетия ."	[5]	100.00%	
Она вся - продукт российского производства и российских технологий , что позволило выйти на новый уровень не только технических решений , но и качества .	[6]	100.00%	
Однако в боях в предгорьях Кавказа и под Новороссийском советским войскам удалось остановить противника .	[2]	100.00%	
Сегодняшняя школа все чаще не устраивает взрослых и детей .	[2]	100.00%	
"Уже стали забываться "" черные понедельники "" в Уфимском горкоме партии - еженедельные разносы на аппаратных совещаниях , не томятся в ожидании приема толпы руководителей в приемной Р. Рахматуллина ."	[6]	100.00%	
Часть топлива была отправлена на переработку , а часть сгрузили в новое хранилище , но последнее было построено в качестве временного , и окончательно вопрос безопасного хранения высокоактивных отходов до сих пор не решен .	[5]	100.00%	
Аналогичной должна быть позиция в отношении политических беженцев и иных мигрантов , преследуемых и дискриминируемых в местах первоначального проживания .	[6]	100.00%	
В Зайсанском регионе я обнаружил и собрал большое количество окаменелостей девонского возраста и даже собирался на их основе готовить кандидатскую диссертацию , т. е. лишь случайно не стал палеонтологом .	[6]	100.00%	
Удивительно , ведь нефти и алмазов в регионе нет !	[1]	100.00%	
Так и тряслась потихоньку , пока в 1950 году не уехала в благословенную Финляндию .	[3]	100.00%	
И суть этих скрытых от любопытных глаз отношений не только и не столько в развитии взаимовыгодных коммерческих проектов , будь то военная сфера или строительство железнодорожной ветки в Эйлат , имеющей несомненное стратегическое значение .	[7]	100.00%	
Смотрите : несмотря на все наши усилия и на сам тот факт , что это прямо прописано в законе , не работает норма статьи 90 УПК РФ о преюдиции .	[7]	100.00%	
Одна из задач - вносить наряду с внешней политикой , дипломатией , средствами информационного противоборства вклад в предотвращение войны с применением ядерного оружия и в целом сколько-нибудь крупномасштабной войны .	[7]	100.00%	
Кстати , стрелки из поезда на железной дороге вообще и в метро в частности из кабины не переводятся , а здоровенный штурвал , стоящий в кабинах старых поездов , приводит в действие ручной тормоз .	[6]	100.00%	
Они позволяют осуществлять интеракцию в режиме реального времени и общего виртуального пространства и позволяют иметь доступ в коммуникационную сеть .	[4]	100.00%	
"Городские улицы и площади не безопасны от убийц "" ."	[2]	100.00%	
Поведение Ковалева по-иному ставило вопрос о том , что значит постоять за честь родины : послать на смерть молодых парней в далекие края и восторженно рассказывать , как они умирают с улыбкой на устах ?	[7]	100.00%	
В Испании в 1923 году установил диктатуру генерал Примо Де Ривера , в Польше в 1926-м - _ Пилсудский , которому сторонники приписывали сверхчеловеческие качества и даже дар предсказания .	[7]	100.00%	
"Не осталась в стороне и редакция журнала "" Бильд дер Виссеншафт "" ( "" Зеркало науки "" ) : она посоветовала формировать команду в основном из игроков маленького роста ."	[7]	100.00%	
Дорога уже поднималась в гору , и сразу же исчезли столбы и электрические провода .	[2]	100.00%	
Российское население настолько привыкло ( и приучено властью ) к расчетливому цинизму в межгосударственных отношениях , что лишено даже в малейшей степени понимания важности и ценности проявлений доброй воли .	[6]	100.00%	
Другой пример - Пушкин и Дюма были метисами , и ни у кого не возникает сомнений в их гениальности .	[5]	100.00%	
Разумеется , никто его так и не открыл , а может быть , никто никогда его и не искал .	[3]	100.00%	
И вот пример одной из работ , в которой люди залезли прямо в аттосекундный диапазон и смогли что-то узнать .	[4]	100.00%	
Многие граждане не поверили , что это и есть самый разыскиваемый в Европе политик .	[1]	100.00%	
"Как сказал Мандельштам , "" и море и Гомер , все движется любовью "" ."	[3]	100.00%	
Это вложения в уставные капиталы и акции российских предприятий , в реальные инвестиционные проекты .	[3]	100.00%	
Сам Михаил Котюков явно получил дополнительные килограммы к своему административному весу , в том числе и в вопросах формирования бюджета на исследования и разработки .	[7]	100.00%	
Кончик носа онемел от ужаса , ледяные мурашки ползли по спине , и темный водоворот медленно поднимал ее , и кружил , и нес в такую глубину , что она догадалась , что умирает .	[7]	100.00%	
"Тогда косвенным свидетельством того , что "" лингвистические построения имеют корреляты в действительности "" , является , например , возможность выучить новый для себя язык по этим двум документам и свободно заговорить на нем ."	[7]	100.00%	
Например , в республиках Северного Кавказа отчуждение от официальной власти и от ее законов замещается ростом влияния неформальных , традиционных институтов - родственных , территориально - общинных и религиозных .	[7]	100.00%	
Стремительно пересекая Атлантику , через полтора часа тень покажется у берегов Африки и вступит на ее побережье в Гане ; быстро пройдя через Того , Бенин и Нигерию , войдет на территорию пустыни Сахара .	[7]	100.00%	
"Горбачев не таков , и это все знают "" ."	[2]	100.00%	
Самостоятельно они не могут овладеть даже навыками самообслуживания , и может показаться , что их место в психоневрологических интернатах .	[5]	100.00%	
Секретарь поднял свиток , решил пока что ничего не записывать и ничему не удивляться .	[5]	100.00%	
Строго говоря , эти материалы известны , но пока их применение в десятки и даже тысячи раз меньше , чем это возможно и необходимо .	[7]	100.00%	
"Юристы "" Тюменнефтегаза "" указывали на то , что президиум ВАС по-новому истолковал положения НК не в пользу налогоплательщика уже на год позже , но компании это не помогло ."	[5]	100.00%	
"Представители военной разведки АМАН отмечают , что в последние дни практически прекратилась поставка оружия и боеприпасов для боевиков "" Хизбаллы "" из Ирана в Ливан в пограничные с Израилем районы при посредничестве сирийских властей ."	[5]	100.00%	
Следует также отметить очевидно слабую информированность итальянцев о глубинных процессах , происходящих в нашей стране , что порождает непонимание и , в конечном итоге , снижает интерес к России .	[5]	100.00%	
И в этой обстановке , по-видимому , не обойтись без всесоюзного форума , без подлинной гласности , без понимания и поддержки всех наций , в первую очередь русского народа .	[7]	100.00%	
Вырыл ее молниеносно , по-научному , и гроб моментально уложили в яму и закопали .	[4]	100.00%	
Если этим ходом пешка перемещается на последнюю горизонталь , игрок в соответствии с правилами ( см. выше ) обязан вслед за этим заменить ее на другую фигуру и ход будет завершен лишь после превращения .	[5]	100.00%	
Мы понимали , что возврата к старому не произойдет , а потому государство в прежнем объеме и по прежним правилам финансировать нас не будет .	[4]	100.00%	
Силы безопасности Израиля предпринимают чрезвычайные меры в связи с очередным терактом , произошедшим минувшим вечером в Рамалле , в результате которого погибли шестеро израильтян .	[4]	100.00%	
Солдат за солдатом - согнувшиеся тени - мелькали на виду и скрывались в лощинке .	[4]	100.00%	
И работать в конечном счете он будет на наши интересы , на настоящее и будущее Кубани и ее жителей .	[4]	100.00%	
Я могу победить Гудкова и без поддержки Навального , но я хочу победить его на праймериз и мне не нравится , что он сливается .	[5]	100.00%	
Там их и находили ученые при помощи как наземных , так и космических аппаратов .	[3]	100.00%	
Да , лучше не ходить в эти бары , где все молчат , лучше купить на последние гроши дешевую бутылку вина и выпить где-нибудь у помойки , в стороне …	[7]	100.00%	
Переход на роботизацию в промышленности и различных сферах услуг выглядит тем более привлекательным на фоне растущей стоимости квалифицированной рабочей силы в экономически развитых странах .	[6]	100.00%	
Более того , теперь мы понимаем , что и теория относительности , и вообще все научные теории именно таковы - временные постройки в ожидании в чем-то более совершенной , но такой же временной замены .	[7]	100.00%	
Другие не преминули воспользоваться имуществом жертв и их квартирами .	[3]	100.00%	
Потом приходил черед фонарщиков в России и в Индии .	[2]	100.00%	
Пострадавших и обмороженных среди них нет , отметили в пресс-службе ГУ ГО и ЧС .	[3]	100.00%	
Машинист должен безошибочно разбираться в сигналах светофора и принимать правильные решения насчет того , с какой скоростью можно ехать и стоит ли двигаться вообще .	[4]	100.00%	
Если они признают поражение в Москве - это значит , что мы на следующий день проснемся в другой стране .	[7]	100.00%	
По его словам , в течение полугода , отведенного на решение этих вопросов , телекомпания намерена отстаивать свои интересы в Конституционном суде России и Европейском суде по правам человека .	[6]	100.00%	
Имя ему - творческий труд , который в будущем потеснит , а может быть , даже и вытеснит труд обыденный , рутинный и тяжелый .	[7]	100.00%	
В среду на пресс-конференции в Москве он , в частности , заявил , что распространенность ВИЧ в России позволяет сделать вывод о полномасштабной эпидемии .	[5]	100.00%	
Как и в любом дневнике внимательного ( надеюсь , внимательного , я старался ) наблюдателя , некоторые темы собрались в пучки , стали метасюжетами .	[5]	100.00%	
Я креплюсь , но это выражение добродетельного терпения меня все-таки подтачивает , и я по дороге перестраиваюсь и делаю вид , что про серьезное я начал говорить нарочно , чтобы потом было еще смешней .	[7]	100.00%	
Академик Аганбегян считает : в первую очередь следует досконально исследовать уровень технологий , машин и оборудования в каждой отрасли .	[6]	100.00%	
Строго говоря , советский ее этап особого интереса не представляет , ничего нет особенного и в технологии трансформации советского руководителя в российского регионального вожака .	[7]	100.00%	
"Мы ничего не боялись и дома воспитывали "" предков "" , что они , дураки , боялись какого-то Сталина и ждали арестов по ночам ."	[7]	100.00%	
На мой взгляд , лучший способ действий - превращать противников в конкурентов , _ конкурентов - в партнеров , а затем и в союзников .	[5]	100.00%	
Да и работать она может только в системе связи , у нее узкая специальность .	[2]	100.00%	
Как сообщают в четверг метеослужбы Италии , в последний раз столь жаркий июнь наблюдался в Италии в 1782 году .	[3]	100.00%	
Вскоре исчезла и вторая сестра - и вновь заговорили об их связях с немцами .	[1]	100.00%	
Легкие и нержавеющие материалы как нельзя кстати в судостроении .	[2]	100.00%	
В Хабаровской государственной академии экономики и права с участием Рагхунатха и членов индийской делегации пройдет конференция о состоянии и перспективах российско - индийских отношений .	[7]	100.00%	
Так и с ФД : любой математик проверит доказательство даже из той области , в которой он не разбирается .	[5]	99.99%	
В новой школе , как в реальном технопарке , детям интересно и удобно вместе учиться , открывать новое и делать это новое доступным другим .	[4]	100.00%	
Проблема заключалась в средневековых приемах и условиях обработки земли .	[3]	100.00%	
Врач отпрянул , захлопнув дверцу , и с грохотом опустился на стул , который , по счастью , стоял как раз в нужном месте .	[2]	100.00%	
